frame_id,sequence_id,tif_image_path,tif_mask_path,png_image_path,png_mask_path
1,1,TIFF/Original/1.tif,TIFF/Ground Truth/1.tif,PNG/Original/1.png,PNG/Ground Truth/1.png
10,1,TIFF/Original/10.tif,TIFF/Ground Truth/10.tif,PNG/Original/10.png,PNG/Ground Truth/10.png
100,5,TIFF/Original/100.tif,TIFF/Ground Truth/100.tif,PNG/Original/100.png,PNG/Ground Truth/100.png
101,5,TIFF/Original/101.tif,TIFF/Ground Truth/101.tif,PNG/Original/101.png,PNG/Ground Truth/101.png
102,5,TIFF/Original/102.tif,TIFF/Ground Truth/102.tif,PNG/Original/102.png,PNG/Ground Truth/102.png
103,5,TIFF/Original/103.tif,TIFF/Ground Truth/103.tif,PNG/Original/103.png,PNG/Ground Truth/103.png
104,6,TIFF/Original/104.tif,TIFF/Ground Truth/104.tif,PNG/Original/104.png,PNG/Ground Truth/104.png
105,6,TIFF/Original/105.tif,TIFF/Ground Truth/105.tif,PNG/Original/105.png,PNG/Ground Truth/105.png
106,6,TIFF/Original/106.tif,TIFF/Ground Truth/106.tif,PNG/Original/106.png,PNG/Ground Truth/106.png
107,6,TIFF/Original/107.tif,TIFF/Ground Truth/107.tif,PNG/Original/107.png,PNG/Ground Truth/107.png
108,6,TIFF/Original/108.tif,TIFF/Ground Truth/108.tif,PNG/Original/108.png,PNG/Ground Truth/108.png
109,6,TIFF/Original/109.tif,TIFF/Ground Truth/109.tif,PNG/Original/109.png,PNG/Ground Truth/109.png
11,1,TIFF/Original/11.tif,TIFF/Ground Truth/11.tif,PNG/Original/11.png,PNG/Ground Truth/11.png
110,6,TIFF/Original/110.tif,TIFF/Ground Truth/110.tif,PNG/Original/110.png,PNG/Ground Truth/110.png
111,6,TIFF/Original/111.tif,TIFF/Ground Truth/111.tif,PNG/Original/111.png,PNG/Ground Truth/111.png
112,6,TIFF/Original/112.tif,TIFF/Ground Truth/112.tif,PNG/Original/112.png,PNG/Ground Truth/112.png
113,6,TIFF/Original/113.tif,TIFF/Ground Truth/113.tif,PNG/Original/113.png,PNG/Ground Truth/113.png
